wn	g_0_wn_up
2.3316507975861747	(0.19979835909681423-0.26786884915362036j)
2.380738182798515	(0.19464728398795467-0.26641508387116286j)
2.429825568010856	(0.189655830095747-0.26489581809412965j)
2.478912953223196	(0.18481965918983015-0.263318308671823j)
2.5280003384355365	(0.1801343978014983-0.2616892690374102j)
2.5770877236478773	(0.17559566261680662-0.26001490280637957j)
2.6261751088602177	(0.17119908230721964-0.25830093615029154j)
2.675262494072558	(0.16694031617281493-0.2565526488362529j)
2.724349879284899	(0.1628150699436213-0.25477490385952584j)
2.773437264497239	(0.15881910905584262-0.25297217562720364j)
2.82252464970958	(0.15494826969191575-0.251148576675822j)
2.8716120349219203	(0.15119846784685745-0.24930788292590447j)
2.9206994201342606	(0.14756570665836877-0.24745355749246692j)
2.9697868053466014	(0.14404608221479465-0.24558877308305183j)
3.018874190558942	(0.14063578803333707-0.24371643302447193j)
3.067961575771282	(0.1373311183808923-0.24183919096659415j)
3.117048960983623	(0.13412847059150096-0.23995946931659948j)
3.1661363461959633	(0.1310243465176063-0.23807947646057642j)
3.215223731408304	(0.12801535323703508-0.23620122283134076j)
3.2643111166206444	(0.1250982031237696-0.2343265358822962j)
3.313398501832985	(0.12226971337806627-0.23245707402717056j)
3.3624858870453256	(0.11952680510021167-0.23059433960477602j)
3.411573272257666	(0.11686650198208565-0.22873969092669968j)
3.4606606574700063	(0.11428592868163785-0.2268943534641726j)
3.509748042682347	(0.11178230893728096-0.22505943022838867j)
3.5588354278946874	(0.10935296347198123-0.22323591139635499j)
3.6079228131070282	(0.10699530773039609-0.22142468323200756j)
3.6570101983193686	(0.10470684948670125-0.2196265363499006j)
3.706097583531709	(0.10248518635568694-0.2178421733663033j)
3.7551849687440497	(0.10032800323522613-0.21607221598006857j)
3.80427235395639	(0.0982330697042627-0.21431721152319483j)
3.8533597391687304	(0.09619823739698025-0.2125776390186099j)
3.902447124381071	(0.09422143737074541-0.2108539147803879j)
3.9515345095934116	(0.09230067748272336-0.2091463975893695j)
4.000621894805752	(0.09043403978770026-0.20745539347501182j)
4.049709280018092	(0.08861967796758051-0.20578116013224598j)
4.0987966652304335	(0.08685581480121932-0.2041239110001743j)
4.147884050442774	(0.08514073968167846-0.20248381902759668j)
4.196971435655114	(0.08347280618662364-0.20086102014861476j)
4.246058820867455	(0.08185042970639592-0.1992556164899258j)
4.295146206079795	(0.08027208513326178-0.1976676793298778j)
4.344233591292136	(0.07873630461446152-0.19609725182791607j)
4.3933209765044765	(0.07724167537091388-0.19454435154170072j)
4.442408361716817	(0.07578683758278218-0.19300897274791398j)
4.491495746929157	(0.07437048234255182-0.19149108858160008j)
4.540583132141498	(0.07299134967579517-0.18999065300778373j)
4.589670517353839	(0.07164822662940223-0.18850760263809446j)
4.638757902566179	(0.07033994542671969-0.18704185840417412j)
4.6878452877785195	(0.06906538168876261-0.18559332709876558j)
4.73693267299086	(0.06782345272043366-0.18416190279456232j)
4.7860200582032	(0.0666131158604959-0.1827474681501399j)
4.8351074434155406	(0.06543336689389596-0.181349895611589j)
4.884194828627882	(0.06428323852491374-0.17996904851781576j)
4.933282213840222	(0.06316179890952497-0.1786047821168754j)
4.9823695990525625	(0.062068150245293115-0.17725694450014395j)
5.031456984264903	(0.06100142741706171-0.1759253774606192j)
5.080544369477243	(0.05996079669668535-0.1746099172811616j)
